Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.9889,0.0,0.9889,0.9917,0.9886,0.9833,0.9849,0.302
Decision Tree Classifier,0.9875,0.99,0.9875,0.9906,0.9871,0.981,0.983,0.004
Gradient Boosting Classifier,0.9875,0.0,0.9875,0.9906,0.9871,0.981,0.983,0.016
Linear Discriminant Analysis,0.9875,0.0,0.9875,0.9906,0.9871,0.981,0.983,0.004
Naive Bayes,0.9764,1.0,0.9764,0.9823,0.9757,0.9643,0.9679,0.003
Quadratic Discriminant Analysis,0.9764,0.0,0.9764,0.9823,0.9757,0.9643,0.9679,0.004
Ada Boost Classifier,0.9764,0.0,0.9764,0.9823,0.9757,0.9643,0.9679,0.01
K Neighbors Classifier,0.9667,1.0,0.9667,0.975,0.9657,0.95,0.9548,0.01
Random Forest Classifier,0.9653,1.0,0.9653,0.974,0.9643,0.9476,0.9528,0.03
Extra Trees Classifier,0.9653,1.0,0.9653,0.974,0.9643,0.9476,0.9528,0.026
Light Gradient Boosting Machine,0.9528,0.9975,0.9528,0.9625,0.9521,0.9295,0.9341,0.069
Ridge Classifier,0.8681,0.0,0.8681,0.8965,0.8646,0.8022,0.8177,0.004
SVM - Linear Kernel,0.7958,0.0,0.7958,0.7802,0.7539,0.6929,0.7518,0.007
Dummy Classifier,0.2833,0.5,0.2833,0.0819,0.1267,0.0,0.0,0.004
